episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,error
sw_005,software_project,1,monitoring_url,observe.velturis.io/aurora,monitor.narvex.io/proj-aurora,monitor.narvex.io/proj-aurora,observe.velturis.io/aurora,True,False,True,False,True,4,16,
sw_006,software_project,1,weekly_report_recipient,Helen Chen,James Lee,James Lee,Helen Chen,True,False,True,False,True,2,14,
sw_007,software_project,1,orm_library,Thalnex Query,Crysthene ORM,Crysthene ORM,Thalnex Query,True,False,True,False,True,3,17,
sw_008,software_project,1,token_format,Oathkeeper-mTLS-cert,Verithos-JWT-v2,Verithos-JWT-v2,Oathkeeper-mTLS-cert,True,False,True,False,True,4,17,
sw_009,software_project,1,ci_config,zephyra-pipeline.json,korinth-deploy.yaml,korinth-deploy.yaml,narvex-ci.yml,True,False,False,False,False,4,13,
sw_010,software_project,1,ci_config,thandrel-flow.toml,zephyra-pipeline.json,zephyra-pipeline.json,orinthal-build.yml,True,False,False,False,False,4,15,
sw_011,software_project,1,dev_server_command,moxira serve --hot,korvel dev --open,korvel dev --open,moxira serve --hot,True,False,True,False,True,5,16,
sw_012,software_project,1,orm_library,Vorathis ODM,Pyravar Mapper,Pyravar Mapper,Vorathis ODM,True,False,True,False,True,3,15,
sw_013,software_project,1,user_session_ttl,4 hours,15 minutes,15 minutes,4 hours,True,False,True,False,True,3,14,
sw_014,software_project,1,escalation_contact,Rachel Yoo,Rachel Yoo,Rachel Yoo,Rachel Yoo,False,True,True,False,False,2,12,
sw_015,software_project,1,monitoring_url,metrics.thandrel.io/aurora-prod,observe.velturis.io/aurora,metrics.thandrel.io/aurora-prod,observe.velturis.io/aurora,False,True,False,False,False,4,14,
sw_016,software_project,1,dev_server_command,veltrion dev --port 3000,korvel dev --open,korvel dev --open,veltrion dev --port 3000,True,False,True,False,True,3,13,
sw_017,software_project,1,auth_method,SAML 2.0 SSO,API Key + HMAC,API Key + HMAC,mTLS Client Cert,True,False,False,False,False,3,14,
sw_018,software_project,1,connection_string,vorathis://cluster-main:27017/aurora,thlaxis://replica-db:5432/aurora-ro,vorathis://cluster-main:27017/aurora,vorathis://cluster-main:27017/aurora,False,True,True,False,False,4,15,
sw_019,software_project,1,log_drain_endpoint,logs.korinth.dev/aurora,sink.orinthal.dev/aurora,sink.orinthal.dev/aurora,sink.orinthal.dev/aurora,False,False,False,False,False,4,14,
sw_020,software_project,1,monitoring_url,observe.velturis.io/aurora,watch.korinth.dev/aurora,watch.korinth.dev/aurora,observe.velturis.io/aurora,True,False,True,False,True,3,16,
sw_021,software_project,1,escalation_contact,Seungmin Oh,Rachel Yoo,Rachel Yoo,"Rachel Yoo, Seungmin Oh",True,False,True,False,True,2,16,
sw_022,software_project,1,user_session_ttl,1 hour,4 hours,4 hours,1 hour,True,False,True,False,True,4,15,
sw_023,software_project,1,approval_authority,VP Taehyun Kim,VP Helen Chen,VP Helen Chen,VP Taehyun Kim,True,False,True,False,True,2,15,
sw_024,software_project,1,auth_method,JWT Bearer,mTLS Client Cert,mTLS Client Cert,JWT Bearer,True,False,True,False,True,3,17,
sw_025,software_project,1,escalation_contact,Jiwon Han,"Rachel Yoo, Seungmin Oh, Jiwon Han","Rachel Yoo, Seungmin Oh, Jiwon Han",Rachel Yoo,False,True,False,False,False,2,14,
sw_026,software_project,1,project_structure,"layered with /domain, /infra, /api","/domain, /infra, /api","/domain, /infra, /api","/domain, /infra, /api",False,False,False,False,False,3,13,
sw_027,software_project,1,connection_string,thalnex://store-backup:8529/aurora,pyravar://data-primary:3306/aurora,thalnex://store-backup:8529/aurora,vorathis://cluster-main:27017/aurora,True,True,False,True,False,4,16,
sw_028,software_project,1,docker_image,thandrel-images/aurora:release,korinth-repo/aurora:stable,korinth-repo/aurora:stable,zephyra-hub/aurora:prod,True,False,False,False,False,5,15,
sw_029,software_project,1,connection_string,thalnex://store-prod:8529/aurora,vorathis://cluster-main:27017/aurora,thalnex://store-backup:8529/aurora,vorathis://cluster-main:27017/aurora,False,False,False,False,False,4,19,
sw_030,software_project,1,orm_library,Thalnex Query,Vorathis ODM,Vorathis ODM,Vorathis ODM,False,False,False,False,False,3,16,
sw_031,software_project,1,auth_method,Session Cookie + CSRF,mTLS Client Cert,mTLS Client Cert,JWT Bearer,True,False,False,False,False,3,14,
sw_032,software_project,1,token_format,Oathkeeper-mTLS-cert,Cerberix-SAML-assertion,Cerberix-SAML-assertion,Oathkeeper-mTLS-cert,True,False,True,False,True,4,13,
sw_033,software_project,1,weekly_report_recipient,James Lee,Hyunwoo Nam,Hyunwoo Nam,"James Lee, Helen Chen",True,False,True,False,True,2,12,
sw_034,software_project,1,build_tool,Dranith Compiler,Pyronis Build,Pyronis Build,Gradle,True,False,False,False,False,4,12,
sw_035,software_project,1,backup_schedule,daily at 3am UTC,Daily at 3am UTC,Daily at 3am UTC,Daily at 3am UTC,False,True,True,False,False,4,13,
sw_036,software_project,1,docker_image,korinth-repo/aurora:stable,zephyra-hub/aurora:prod,zephyra-hub/aurora:prod,zephyra-hub/aurora:prod,False,False,False,False,False,5,18,
sw_037,software_project,1,log_drain_endpoint,sink.orinthal.dev/aurora,logs.korinth.dev/aurora,logs.korinth.dev/aurora,sink.orinthal.dev/aurora,True,False,True,False,True,4,16,
sw_038,software_project,1,project_structure,monorepo with /apps and /packages,/modules and /shared,/modules and /shared,Monorepo with /apps and /packages,False,False,True,False,False,5,15,
sw_039,software_project,1,monitoring_url,metrics.thandrel.io/aurora-prod,status.orinthal.dev/aurora,status.orinthal.dev/aurora,observe.velturis.io/aurora,True,False,False,False,False,4,15,
sw_040,software_project,1,user_session_ttl,4 hours,24 hours,24 hours,4 hours,True,True,True,True,True,3,13,
sw_041,software_project,1,backup_schedule,daily at midnight KST,Daily at 3am UTC,Daily at 3am UTC,Daily at 3am UTC,True,False,False,False,False,4,15,
sw_042,software_project,1,approval_authority,Director Hyunwoo Nam,VP Taehyun Kim,VP Taehyun Kim,"VP Taehyun Kim, Director Hyunwoo Nam",True,False,True,False,True,2,16,
sw_043,software_project,1,connection_string,thalnex://store-prod:8529/aurora,vorathis://cluster-main:27017/aurora,vorathis://cluster-main:27017/aurora,vorathis://cluster-main:27017/aurora,False,False,False,False,False,4,15,
sw_044,software_project,1,test_framework,Pyronis Check,Synthari,Synthari,Quenthar,False,False,False,False,False,4,14,
sw_045,software_project,1,escalation_contact,Jiwon Han,Rachel Yoo,Rachel Yoo,Rachel Yoo,False,False,False,False,False,2,14,
sw_046,software_project,1,build_tool,Karnex Bundler,Tarvex CLI,Tarvex CLI,Tarvex CLI,True,False,False,False,False,5,14,
sw_047,software_project,1,auth_method,mTLS Client Cert,API Key + HMAC,API Key + HMAC,JWT Bearer,True,False,False,False,False,3,15,
sw_048,software_project,1,login_endpoint,/auth/kryptal/signin,/cerberix/saml/sso-init,/cerberix/saml/sso-init,/ auth/kryptal/signin,True,False,True,False,True,3,16,
sw_049,software_project,1,auth_method,Session Cookie + CSRF,SAML 2.0 SSO,SAML 2.0 SSO,JWT Bearer,True,False,False,False,False,3,17,
sw_050,software_project,1,staging_url,sandbox.thandrel.io/aurora,dev.orinthal.dev/aurora,dev.orinthal.dev/aurora,sandbox.thandrel.io/aurora,True,False,True,False,True,4,14,
