episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,error
pl_021,personal_life,1,work_schedule,hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),Not specified.,False,True,False,False,False,9,17,discovered_tiered,5,9,5,0.5555555555555556,1.0,
pl_022,personal_life,1,financial_goal,saving for wedding,Saving for kids' education fund,Saving for kids' education fund,Insuring rare collectibles.,True,False,False,False,False,3,19,discovered_tiered,2,3,2,0.6666666666666666,1.0,
pl_023,personal_life,1,sleep_pattern,irregular,Midnight-8am,Midnight-8am,Unknown,True,False,False,False,False,11,19,discovered_tiered,4,11,4,0.36363636363636365,1.0,
pl_024,personal_life,1,housing_type,townhouse,Condo,Condo,Not provided.,True,False,False,False,False,3,21,discovered_tiered,2,3,2,0.6666666666666666,1.0,
pl_025,personal_life,1,job_title,staff engineer,Marketing Lead,Marketing Lead,Not provided.,True,False,False,False,False,9,16,discovered_tiered,5,9,5,0.5555555555555556,1.0,
pl_026,personal_life,1,commute_method,subway,Bike,By bike.,Not provided.,True,False,False,False,False,4,18,discovered_tiered,2,4,2,0.5,1.0,
pl_027,personal_life,1,commute_duration,15 min,10 min,10 min,Not specified.,True,False,False,False,False,4,14,discovered_tiered,2,4,2,0.5,1.0,
pl_028,personal_life,1,job_title,designer,staff engineer,staff engineer,Not provided.,True,False,False,False,False,12,17,discovered_tiered,5,12,5,0.4166666666666667,1.0,
pl_029,personal_life,1,work_schedule,hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),Not provided.,False,True,False,False,False,3,19,discovered_tiered,2,3,2,0.6666666666666666,1.0,
pl_030,personal_life,1,work_schedule,9-to-5 fixed,9-to-5 fixed,9-to-5 fixed,Not mentioned.,False,True,False,False,False,8,19,discovered_tiered,4,8,4,0.5,1.0,
pl_031,personal_life,1,regular_appointment,dentist (every 6 months),"Dentist (every 6 months), tutoring session (weekly)","Dentist (every 6 months), tutoring session (weekly)",None.,True,True,False,True,False,8,15,discovered_tiered,4,8,4,0.5,1.0,
pl_032,personal_life,1,family_event,parent's birthday,Baby shower,Baby shower,Family game night,True,False,False,False,False,3,20,discovered_tiered,2,3,2,0.6666666666666666,1.0,
pl_033,personal_life,1,insurance,employer-provided health plan,Dental + vision bundle,Dental + vision bundle,Not provided.,True,False,False,False,False,10,17,discovered_tiered,5,10,5,0.5,1.0,
pl_034,personal_life,1,exercise_routine,weight training 4x/week,Running 3x/week,Running 3x/week,Pyravar CrossFit,True,False,False,False,False,5,16,discovered_tiered,3,5,3,0.6,1.0,
pl_035,personal_life,1,housing_type,two-bedroom apartment,Dormitory,Dormitory,Not provided.,True,False,False,False,False,3,19,discovered_tiered,2,3,2,0.6666666666666666,1.0,
pl_036,personal_life,1,commute_duration,10 min,30 min,30 min,Not mentioned.,True,False,False,False,False,4,21,discovered_tiered,2,4,2,0.5,1.0,
pl_037,personal_life,1,family_event,none currently,child's school event,Child's school event,Sister's 30th birthday party,True,False,False,False,False,4,18,discovered_tiered,2,4,2,0.5,1.0,
pl_038,personal_life,1,travel_plan,island getaway,Cross-country road trip.,Cross-country road trip,Group trip.,True,False,False,False,False,2,20,discovered_tiered,2,2,2,1.0,1.0,
pl_039,personal_life,1,skill_acquisition,Japanese,Spanish,Spanish,Japanese,True,False,True,False,True,2,16,discovered_tiered,2,2,2,1.0,1.0,
pl_040,personal_life,1,dietary_restriction,nut-free,Dairy-free,Dairy-free,None specified.,True,False,False,False,False,9,17,discovered_tiered,3,9,3,0.3333333333333333,1.0,
pl_041,personal_life,1,medication,Dyntheral,Korathril,Korathril,The notes do not contain any information about medication.,True,False,False,False,False,8,15,discovered_tiered,3,8,3,0.375,1.0,
pl_042,personal_life,1,exercise_routine,swimming 2x/week,Walking daily,Walking daily,Not mentioned.,True,False,False,False,False,9,17,discovered_tiered,3,9,3,0.3333333333333333,1.0,
pl_043,personal_life,1,travel_plan,island getaway,No travel planned,No travel planned.,Trip to Bohol.,True,False,False,False,False,4,19,discovered_tiered,2,4,2,0.5,1.0,
pl_044,personal_life,1,sleep_pattern,1am-9am,1am-9am,1am-9am,Not mentioned.,False,True,False,False,False,8,17,discovered_tiered,3,8,3,0.375,1.0,
pl_045,personal_life,1,travel_plan,no travel planned,Mountain ski trip,Mountain ski trip,Move to Vancouver.,True,False,False,False,False,3,15,discovered_tiered,2,3,2,0.6666666666666666,1.0,
pl_046,personal_life,1,dietary_restriction,nut-free,Dairy-free,"Nut-free, dairy-free",Picky eater,True,True,False,True,False,8,19,discovered_tiered,4,8,4,0.5,1.0,
pl_047,personal_life,1,job_title,product manager,Designer,designer,Podcaster,True,False,False,False,False,7,18,discovered_tiered,4,7,4,0.5714285714285714,1.0,
pl_048,personal_life,1,dietary_restriction,no processed food,Low-sugar,Low-sugar,None,True,False,False,False,False,9,15,discovered_tiered,4,9,4,0.4444444444444444,1.0,
pl_049,personal_life,1,insurance,dental + vision bundle,Employer + supplemental,Employer + supplemental,None.,True,False,False,False,False,10,19,discovered_tiered,5,10,5,0.5,1.0,
pl_050,personal_life,1,fitness_facility,Zorathel Peak Gym,Zorathel Peak Gym,Zorathel Peak Gym,Co-working space.,False,True,False,False,False,5,16,discovered_tiered,2,5,2,0.4,1.0,
sw_001,software_project,1,build_tool,Quorix Forge,Zelthra Pack,Zelthra Pack,None,True,False,False,False,False,7,18,discovered_tiered,3,7,3,0.42857142857142855,1.0,
sw_002,software_project,1,ci_config,korinth-deploy.yaml,orinthal-build.yml,orinthal-build.yml,Thandrel Infra,True,False,False,False,False,11,12,discovered_tiered,5,11,5,0.45454545454545453,1.0,
sw_003,software_project,1,log_drain_endpoint,sink.orinthal.dev/aurora,drain.zephyra.io/proj-42,drain.zephyra.io/proj-42,Thandrel Infra,True,False,False,False,False,11,17,discovered_tiered,4,11,4,0.36363636363636365,1.0,
sw_004,software_project,1,code_reviewer,Seoyun Choi,David Lee,David Lee,Minjun Lee,True,False,False,False,False,3,16,discovered_tiered,2,3,2,0.6666666666666666,1.0,
sw_005,software_project,1,monitoring_url,observe.velturis.io/aurora,monitor.narvex.io/proj-aurora,observe.velturis.io/aurora,Velturis Edge,True,True,False,True,False,7,16,discovered_tiered,4,7,4,0.5714285714285714,1.0,
sw_006,software_project,1,weekly_report_recipient,Helen Chen,James Lee,James Lee,User,True,False,False,False,False,3,14,discovered_tiered,2,3,2,0.6666666666666666,1.0,
sw_007,software_project,1,orm_library,Thalnex Query,Crysthene ORM,Crysthene ORM,Keldaris DB,True,False,False,False,False,4,17,discovered_tiered,3,4,3,0.75,1.0,
sw_008,software_project,1,token_format,Oathkeeper-mTLS-cert,Verithos-JWT-v2,Verithos-JWT-v2,openai.api_key,True,False,False,False,False,7,17,discovered_tiered,4,7,4,0.5714285714285714,1.0,
sw_009,software_project,1,ci_config,zephyra-pipeline.json,korinth-deploy.yaml,korinth-deploy.yaml,Not provided.,True,False,False,False,False,9,13,discovered_tiered,4,9,4,0.4444444444444444,1.0,
sw_010,software_project,1,ci_config,thandrel-flow.toml,zephyra-pipeline.json,zephyra-pipeline.json,Zephyra Platform,True,False,False,False,False,9,15,discovered_tiered,4,9,4,0.4444444444444444,1.0,
sw_011,software_project,1,dev_server_command,moxira serve --hot,korvel dev --open,korvel dev --open,npm run dev,True,False,False,False,False,14,16,discovered_tiered,5,14,5,0.35714285714285715,1.0,
sw_012,software_project,1,orm_library,Vorathis ODM,Pyravar Mapper,Pyravar Mapper,Thalnex Store,True,False,False,False,False,6,15,discovered_tiered,3,6,3,0.5,1.0,
sw_013,software_project,1,user_session_ttl,4 hours,15 minutes,15 minutes,3600,True,False,False,False,False,5,14,discovered_tiered,3,5,3,0.6,1.0,
sw_014,software_project,1,escalation_contact,Rachel Yoo,Rachel Yoo,Rachel Yoo,Yuna Park,False,True,False,False,False,4,12,discovered_tiered,2,4,2,0.5,1.0,
sw_015,software_project,1,monitoring_url,metrics.thandrel.io/aurora-prod,status.orinthal.dev/aurora,status.orinthal.dev/aurora,Velturis Edge,True,False,False,False,False,10,14,discovered_tiered,4,10,4,0.4,1.0,
sw_016,software_project,1,dev_server_command,veltrion dev --port 3000,korvel dev --open,korvel dev --open,Send me your code for review.,True,False,False,False,False,10,13,discovered_tiered,3,10,3,0.3,1.0,
sw_017,software_project,1,auth_method,SAML 2.0 SSO,API Key + HMAC,SAML 2.0 SSO,Kryptal Auth,True,True,False,True,False,7,14,discovered_tiered,3,7,3,0.42857142857142855,1.0,
sw_018,software_project,1,connection_string,vorathis://cluster-main:27017/aurora,crysthene://replica-db:5432/aurora-ro,vorathis://cluster-main:27017/aurora,Vorathis DB,True,True,False,True,False,11,15,discovered_tiered,4,11,4,0.36363636363636365,1.0,
sw_019,software_project,1,log_drain_endpoint,logs.korinth.dev/aurora,drain.zephyra.io/proj-42,drain.zephyra.io/proj-42,Zephyra Platform,True,False,False,False,False,9,14,discovered_tiered,4,9,4,0.4444444444444444,1.0,
sw_020,software_project,1,monitoring_url,observe.velturis.io/aurora,watch.korinth.dev/aurora,watch.korinth.dev/aurora,Orinthal Serve,True,False,False,False,False,6,16,discovered_tiered,3,6,3,0.5,1.0,
sw_021,software_project,1,escalation_contact,Seungmin Oh,Seungmin Oh,Seungmin Oh,Not specified.,False,True,False,False,False,4,16,discovered_tiered,2,4,2,0.5,1.0,
sw_022,software_project,1,user_session_ttl,1 hour,4 hours,4 hours,60 minutes,True,False,False,False,False,11,15,discovered_tiered,4,11,4,0.36363636363636365,1.0,
sw_023,software_project,1,approval_authority,VP Taehyun Kim,VP Helen Chen,VP Helen Chen,Sarah Chen,True,False,False,False,False,5,15,discovered_tiered,2,5,2,0.4,1.0,
sw_024,software_project,1,auth_method,JWT Bearer,mTLS Client Cert,mTLS Client Cert,Kryptal Auth,True,False,False,False,False,5,17,discovered_tiered,3,5,3,0.6,1.0,
sw_025,software_project,1,escalation_contact,Jiwon Han,Jiwon Han,Jiwon Han,Not specified.,False,True,False,False,False,4,14,discovered_tiered,2,4,2,0.5,1.0,
sw_026,software_project,1,project_structure,"layered with /domain, /infra, /api","/ads, /packages","/domain, /infra, /api",LoRaWAN Greenhouse Emissions Monitoring,False,False,False,False,False,10,13,discovered_tiered,3,10,3,0.3,1.0,
sw_027,software_project,1,connection_string,thalnex://store-backup:8529/aurora,pyravar://data-primary:3306/aurora,pyravar://data-primary:3306/aurora,Zyndra Base,True,False,False,False,False,7,16,discovered_tiered,4,7,4,0.5714285714285714,1.0,
sw_028,software_project,1,docker_image,thandrel-images/aurora:release,korinth-repo/aurora:stable,korinth-repo/aurora:stable,Narvex Cloud,True,False,False,False,False,10,15,discovered_tiered,5,10,5,0.5,1.0,
sw_029,software_project,1,connection_string,thalnex://store-prod:8529/aurora,thalnex://store-backup:8529/aurora,thalnex://store-prod:8529/aurora,Pyravar Data,True,True,False,True,False,6,19,discovered_tiered,4,6,4,0.6666666666666666,1.0,
sw_030,software_project,1,orm_library,Thalnex Query,Keldaris Link,Keldaris Link,Thalnex,True,False,False,False,False,5,16,discovered_tiered,3,5,3,0.6,1.0,
sw_031,software_project,1,auth_method,Session Cookie + CSRF,mTLS Client Cert,mTLS Client Cert,Verithos Auth,True,False,False,False,False,6,14,discovered_tiered,3,6,3,0.5,1.0,
sw_032,software_project,1,token_format,Oathkeeper-mTLS-cert,Cerberix-SAML-assertion,Cerberix-SAML-assertion,JWT,True,False,False,False,False,11,13,discovered_tiered,4,11,4,0.36363636363636365,1.0,
sw_033,software_project,1,weekly_report_recipient,James Lee,Hyunwoo Nam,Hyunwoo Nam,Not specified.,True,False,False,False,False,4,12,discovered_tiered,2,4,2,0.5,1.0,
sw_034,software_project,1,build_tool,Dranith Compiler,Pyronis Build,Pyronis Build,Ninja,True,False,False,False,False,9,12,discovered_tiered,4,9,4,0.4444444444444444,1.0,
sw_035,software_project,1,backup_schedule,daily at 3am UTC,Daily at midnight KST.,Daily at midnight KST,"Wednesday, Ako 3, 9/10 Num TN; 12/13 ENG.",True,False,False,False,False,10,13,discovered_tiered,4,10,4,0.4,1.0,
sw_036,software_project,1,docker_image,korinth-repo/aurora:stable,narvex-registry/aurora:latest,narvex-registry/aurora:latest,AWS Fargate,True,False,False,False,False,12,18,discovered_tiered,5,12,5,0.4166666666666667,1.0,
sw_037,software_project,1,log_drain_endpoint,sink.orinthal.dev/aurora,logs.korinth.dev/aurora,logs.korinth.dev/aurora,/log-drain,True,False,False,False,False,8,16,discovered_tiered,4,8,4,0.5,1.0,
sw_038,software_project,1,project_structure,monorepo with /apps and /packages,monorepo,monorepo,Dravex,False,False,False,False,False,13,15,discovered_tiered,5,13,5,0.38461538461538464,1.0,
sw_039,software_project,1,monitoring_url,metrics.thandrel.io/aurora-prod,status.orinthal.dev/aurora,status.orinthal.dev/aurora,Korinth Hosting,True,False,False,False,False,11,15,discovered_tiered,4,11,4,0.36363636363636365,1.0,
sw_040,software_project,1,user_session_ttl,4 hours,24 hours,24 hours,Not provided.,True,True,False,True,False,7,13,discovered_tiered,3,7,3,0.42857142857142855,1.0,
sw_041,software_project,1,backup_schedule,daily at midnight KST,Daily at midnight KST.,Daily at midnight KST,Not provided.,False,True,False,False,False,11,15,discovered_tiered,4,11,4,0.36363636363636365,1.0,
sw_042,software_project,1,approval_authority,Director Hyunwoo Nam,Director Hyunwoo Nam,Director Hyunwoo Nam,Yuna Park,False,True,False,False,False,5,16,discovered_tiered,2,5,2,0.4,1.0,
sw_043,software_project,1,connection_string,thalnex://store-prod:8529/aurora,thalnex://store-backup:8529/aurora,thalnex://store-backup:8529/aurora,Thalnex Store,True,False,False,False,False,9,15,discovered_tiered,4,9,4,0.4444444444444444,1.0,
sw_044,software_project,1,test_framework,Pyronis Check,Quorix Spec,Quorix Spec,Jest,True,False,False,False,False,9,14,discovered_tiered,4,9,4,0.4444444444444444,1.0,
sw_045,software_project,1,escalation_contact,Jiwon Han,Jiwon Han,Jiwon Han,Yuna Park,False,True,False,False,False,3,14,discovered_tiered,2,3,2,0.6666666666666666,1.0,
sw_046,software_project,1,build_tool,Karnex Bundler,Tarvex CLI,Tarvex CLI,Dravex,True,False,False,False,False,13,14,discovered_tiered,5,13,5,0.38461538461538464,1.0,
sw_047,software_project,1,auth_method,mTLS Client Cert,API Key + HMAC,API Key + HMAC,Zenthos ID,True,False,False,False,False,7,15,discovered_tiered,3,7,3,0.42857142857142855,1.0,
sw_048,software_project,1,login_endpoint,/auth/kryptal/signin,/cerberix/saml/sso-init,/cerberix/saml/sso-init,/login,True,False,False,False,False,6,16,discovered_tiered,3,6,3,0.5,1.0,
sw_049,software_project,1,auth_method,Session Cookie + CSRF,SAML 2.0 SSO,SAML 2.0 SSO,Cerberix Cloud,True,False,False,False,False,8,17,discovered_tiered,3,8,3,0.375,1.0,
sw_050,software_project,1,staging_url,sandbox.thandrel.io/aurora,dev.orinthal.dev/aurora,dev.orinthal.dev/aurora,Zephyra Platform,True,False,False,False,False,11,14,discovered_tiered,4,11,4,0.36363636363636365,1.0,
