episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,raw_dialogue,n_superseded,error
sw_012,software_project,2,model_syntax,"Vorathis.collection('Model', spec)","Pyravar.entity('Model', attrs)","Pyravar.entity('Model', attrs)","Vorathis.collection('Model', spec)",True,False,True,False,True,6,15,discovered_hard,3,9,3,0.3333333333333333,1.0,True,7,
sw_013,software_project,2,middleware_config,oathkeeper-cert-check v3.2,verithos-oauth-middleware v2.1,verithos-oauth-middleware v2.1,oathkeeper-cert-check v3.2,True,False,True,False,True,4,14,discovered_hard,3,6,3,0.5,1.0,True,4,
sw_015,software_project,2,deploy_command,thandrel ship --channel beta,narvex deploy --env prod,narvex deploy --env prod,thandrel ship --channel beta,True,False,True,False,True,8,14,discovered_hard,5,13,5,0.46153846153846156,1.0,True,5,
sw_016,software_project,2,build_command,tarvex compile --debug,pyronis pack --optimize,pyronis pack --optimize,tarvex compile --debug,True,False,True,False,True,5,13,discovered_hard,4,10,4,0.4,1.0,True,4,
sw_017,software_project,2,middleware_config,cerberix-sso-bridge v1.9,phalanx-key-guard v1.3,phalanx-key-guard v1.3,cerberix-sso-bridge v1.9,True,False,True,False,True,5,14,discovered_hard,3,8,3,0.5,1.0,True,2,
sw_018,software_project,2,model_syntax,"Pyravar.record('Model', schema)","Pyravar.record('Model', schema)","Pyravar.record('Model', schema)","Pyravar.record('Model', schema)",False,True,True,False,False,8,15,discovered_hard,4,9,4,0.5555555555555556,1.0,True,2,
sw_019,software_project,2,deploy_command,zephyra push --target prod,korinth release --prod,korinth release --prod,zephyra push --target prod,True,False,True,False,True,8,14,discovered_hard,5,10,5,0.6,1.0,True,7,
sw_020,software_project,2,dockerfile_path,deploy/Dockerfile.korinth,deploy/Dockerfile.thandrel,deploy/Dockerfile.thandrel,deploy/Dockerfile.korinth,True,False,True,False,True,11,16,discovered_hard,4,13,4,0.5384615384615384,1.0,True,6,
sw_022,software_project,2,middleware_config,kryptal-bearer-check v2.2,verithos-oauth-middleware v2.1,verithos-oauth-middleware v2.1,kryptal-bearer-check v2.2,True,False,True,False,True,7,15,discovered_hard,4,8,4,0.625,1.0,True,5,
sw_024,software_project,2,middleware_config,kryptal-bearer-check v2.2,oathkeeper-mtls-proxy v4.1,oathkeeper-mtls-proxy v4.1,kryptal-bearer-check v2.2,True,False,True,False,True,9,17,discovered_hard,3,11,3,0.36363636363636365,1.0,True,3,
sw_026,software_project,2,build_command,karnex build --analyze,tarvex compile --release,tarvex compile --release,karnex build --analyze,True,False,True,False,True,9,13,discovered_hard,4,10,4,0.6,1.0,True,5,
sw_027,software_project,2,model_syntax,"Zyndra.struct('Model', types)","Zyndra.struct('Model', types)","Zyndra.struct('Model', types)","Zyndra.struct('Model', types)",False,True,True,False,False,9,16,discovered_hard,4,9,4,0.6666666666666666,1.0,True,3,
sw_028,software_project,2,deploy_command,zephyra push --target prod,korinth release --prod,korinth release --prod,zephyra push --target prod,True,False,True,False,True,6,15,discovered_hard,5,6,5,1.0,1.0,True,3,
sw_029,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Keldaris.object('Model', props)","Thalnex.document('Model', {fields})",False,False,True,False,False,6,19,discovered_hard,4,11,4,0.45454545454545453,1.0,True,6,
sw_030,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Keldaris.node('Model', shape)","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})",True,True,True,True,True,7,16,discovered_hard,3,9,3,0.4444444444444444,1.0,True,3,
sw_031,software_project,2,middleware_config,zenthos-session-middleware v1.8,oathkeeper-mtls-proxy v4.1,oathkeeper-mtls-proxy v4.1,zenthos-session-middleware v1.8,True,False,True,False,True,5,14,discovered_hard,3,8,3,0.375,1.0,True,4,
sw_032,software_project,2,middleware_config,verithos-pkce-guard v1.4,kryptal-bearer-check v2.2,kryptal-bearer-check v2.2,verithos-pkce-guard v1.4,True,False,True,False,True,7,13,discovered_hard,4,7,4,0.7142857142857143,1.0,True,4,
sw_034,software_project,2,build_command,dranith compile --emit bundle,pyronis pack --quick,pyronis pack --quick,dranith compile --emit bundle,True,False,True,False,True,4,12,discovered_hard,4,6,4,0.6666666666666666,1.0,True,2,
sw_035,software_project,2,model_syntax,"Keldaris.node('Model', shape)","Pyravar.record('Model', schema)","Pyravar.record('Model', schema)","Keldaris.node('Model', shape)",True,False,True,False,True,8,13,discovered_hard,4,8,4,0.625,1.0,True,4,
sw_036,software_project,2,deploy_command,orinthal publish --tier sandbox,thandrel ship --channel stable,thandrel ship --channel stable,orinthal publish --tier sandbox,True,False,True,False,True,13,18,discovered_hard,5,10,5,0.8,1.0,True,6,
sw_037,software_project,2,deploy_command,velturis deploy --region ap-northeast,thandrel ship --channel stable,thandrel ship --channel stable,velturis deploy --region ap-northeast,True,False,True,False,True,13,16,discovered_hard,5,13,5,0.6153846153846154,1.0,True,6,
sw_038,software_project,2,test_command,zelthra assert --suite all,karnex test --ci,karnex test --ci,karnex test --ci,True,False,False,False,False,0,15,discovered_hard,5,10,4,0.4,0.8,True,1,
sw_039,software_project,2,deploy_command,velturis deploy --region us-east,ornithal publish --tier sandbox,orinthal publish --tier sandbox,velturis deploy --region us-east,False,False,True,False,False,10,15,discovered_hard,5,11,5,0.6363636363636364,1.0,True,8,
sw_040,software_project,2,middleware_config,oathkeeper-mtls-proxy v4.1,phalanx-hmac-validator v2.0,phalanx-hmac-validator v2.0,oathkeeper-mtls-proxy v4.1,True,False,True,False,True,14,13,discovered_hard,3,12,3,0.3333333333333333,1.0,True,4,
sw_041,software_project,2,model_syntax,"Pyravar.entity('Model', attrs)","Vorathis.collection('Model', spec)","Pyravar.entity('Model', attrs)","Pyravar.entity('Model', attrs)",True,True,True,True,True,5,15,discovered_hard,4,7,4,0.5714285714285714,1.0,True,6,
sw_043,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Zyndra.struct('Model', types)","Zyndra.struct('Model', types)","Thalnex.document('Model', {fields})",True,False,True,False,True,11,15,discovered_hard,4,10,4,0.5,1.0,True,2,
sw_044,software_project,2,test_command,pyronis check --snapshot,quorix spec --run all,quorix spec --run all,pyronis check --snapshot,True,False,True,False,True,6,14,discovered_hard,4,8,4,0.5,1.0,True,7,
sw_046,software_project,2,test_command,zelthra assert --suite all,dranith probe --mode fast,dranith probe --mode fast,zelthra assert --suite all,True,False,True,False,True,7,14,discovered_hard,5,8,5,0.625,1.0,True,7,
sw_047,software_project,2,middleware_config,oathkeeper-mtls-proxy v4.1,phalanx-hmac-validator v2.0,phalanx-hmac-validator v2.0,oathkeeper-mtls-proxy v4.1,True,False,True,False,True,5,15,discovered_hard,3,7,3,0.42857142857142855,1.0,True,4,
sw_048,software_project,2,middleware_config,verithos-oauth-middleware v2.1,oathkeeper-mtls-proxy v4.1,oathkeeper-mtls-proxy v4.1,verithos-oauth-middleware v2.1,True,False,True,False,True,7,16,discovered_hard,3,7,3,0.5714285714285714,1.0,True,4,
sw_049,software_project,2,middleware_config,zenthos-csrf-guard v1.1,cerberix-sso-bridge v1.9,cerberix-sso-bridge v1.9,cerberix-sso-bridge v1.9,True,False,False,False,False,7,17,discovered_hard,3,6,3,0.6666666666666666,1.0,True,4,
sw_050,software_project,2,deploy_command,narvex deploy --env prod,korinth release --canary,korinth release --canary,narvex deploy --env prod,True,False,True,False,True,10,14,discovered_hard,5,15,5,0.4666666666666667,1.0,True,6,
